occasion,relationship,gender,ageType,ageGroup,knownDuration,kidDislikes,kidToyTypes,personality,experiencePreference,handmadePreference,budgetFlexibility,stylePreference,surpriseReaction,connectionImportance,noteImportance,handmadeOverStore,sharedMemoriesAppreciation,relationshipCloseness,uniqueGiftValue,practicalOverSentimental,budget,gift_type
Birthday,"Close Family(Parent, Sibling, Child)",Male,Adult,25–35,3–5 year,Unknown,Unknown,3,3,3,3,3,3,4,4,3,3,3,3,3,"7000–10,000 PKR",Perfume
Birthday,"Extended Family (Aunt, Uncle, Cousin)",Female,Kid,12–15,Unknown,Labubu Dolls,Dolls,3,3,3,3,3,3,4,4,3,3,3,3,3,5500 – 7500 PKR,Toys
Birthday,Colleague/Professional,Male,Adult,More than 35 years,3–5 year,Unknown,Unknown,3,3,3,3,3,3,4,4,3,3,3,3,3,More than 5000 PKR,Jewellery
Birthday,"Extended Family (Aunt, Uncle, Cousin)",Female,Adult,20–25,5+ year,Unknown,Unknown,3,3,3,3,3,3,4,4,3,3,3,3,3,"7000–10,000 PKR",Perfume
Anniversary,"Close Family(Parent, Sibling, Child)",Female,Adult,16–20,3–5 year,Unknown,Unknown,3,3,3,3,3,3,4,4,3,3,3,3,3,"10,000–15,000 PKR",Makeup Products
Get well soon,Friend,Female,Adult,25–35,3–5 year,Unknown,Unknown,3,3,3,3,3,3,4,4,3,3,3,3,3,"5000–10,000 PKR",Bag/Wallet
Holiday,Colleague/Professional,Female,Adult,20–25,1–3 year,Unknown,Unknown,3,3,3,3,3,3,4,4,3,3,3,3,3,5000–7000 PKR,Perfume
Wedding/Engagement gift,Friend,Male,Adult,25–35,Less than a year,Unknown,Unknown,3,3,3,3,3,3,4,4,3,3,3,3,3,4000–5000 PKR,Jewellery
Thank you gift,Other,Female,Adult,20–25,3–5 year,Unknown,Unknown,3,3,3,3,3,3,4,4,3,3,3,3,3,5000–6000 PKR,Edible Stuff
Birthday,"Close Family(Parent, Sibling, Child)",Female,Adult,16–20,3–5 year,Unknown,Unknown,3,3,3,3,3,3,4,4,3,3,3,3,3,"12,000–15,000 PKR",Perfume
Thank you gift,"Close Family(Parent, Sibling, Child)",Female,Adult,20–25,5+ year,Unknown,Unknown,3,3,3,3,3,3,4,3,3,3,3,3,3,"5000–10,000 PKR",Bag/Wallet
Graduation,Friend,Male,Adult,20–25,3–5 year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,3000–4000 PKR,Edible Stuff
Birthday,Friend,Male,Adult,20–25,5+ year,Unknown,Unknown,4,1,3,3,5,4,5,5,2,4,5,5,1,3000–5000 PKR,Wallet
Anniversary,Friend,Female,Adult,20–25,5+ year,Unknown,Unknown,4,1,3,3,5,4,5,5,2,4,5,5,1,5000 PKR,Perfume
Birthday,"Close Family(Parent, Sibling, Child)",Female,Adult,25–35,Less than a year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,5000 PKR,Shoes
Birthday,"Close Family(Parent, Sibling, Child)",Female,Adult,16–20,5+ year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,"15,000–20,000 PKR",Clothing
Other,Friend,Female,Adult,25–35,5+ year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,More than 5000 PKR,Jewellery
Wedding/Engagement gift,Friend,Male,Adult,20–25,5+ year,Unknown,Unknown,1,4,3,2,3,3,5,2,4,5,3,2,4,5000–7000 PKR,Perfume
Thank you gift,"Extended Family (Aunt, Uncle, Cousin)",Female,Adult,More than 35 years,5+ year,Unknown,Unknown,1,4,3,2,3,3,5,2,4,5,3,2,4,"10,000–15,000 PKR",Bag/Wallet
Thank you gift,Spouse,Male,Adult,25–35,1–3 year,Unknown,Unknown,2,4,4,3,4,4,4,3,3,3,4,5,5,"10,000–15,000 PKR",Shoes
Get well soon,Colleague/Professional,Female,Adult,25–35,1–3 year,Unknown,Unknown,3,4,3,5,3,4,3,5,5,5,4,3,3,3000–4000 PKR,Jewellery
Birthday,Friend,Female,Adult,16–20,5+ year,Unknown,Unknown,1,4,2,5,4,5,5,4,3,4,5,4,4,5000–8000 PKR,Clothing
Other,Other,Male,Adult,20–25,5+ year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,"12,000–15,000 PKR",Perfume
Thank you gift,Friend,Male,Adult,20–25,1–3 year,Unknown,Unknown,3,1,3,4,3,5,3,4,5,4,4,4,1,3000–5000 PKR,Wallet
Thank you gift,Friend,Male,Adult,20–25,1–3 year,Unknown,Unknown,3,1,3,4,3,5,3,4,5,4,4,4,1,6000–8000 PKR,Wallet
Birthday,Colleague/Professional,Female,Adult,20–25,1–3 year,Unknown,Unknown,4,4,3,4,4,4,3,4,4,4,4,4,4,1000–2000 PKR,Jewellery
Birthday,Spouse,Female,Adult,20–25,Less than a year,Unknown,Unknown,4,4,4,4,5,4,5,4,4,4,5,5,4,More than 5000 PKR,Jewellery
Graduation,Friend,Female,Adult,20–25,3–5 year,Unknown,Unknown,3,5,3,3,3,3,3,5,5,3,3,5,3,"10,000–12,000 PKR",Perfume
Graduation,Friend,Female,Adult,20–25,3–5 year,Unknown,Unknown,1,4,5,4,2,4,5,4,4,4,5,2,4,4000–5000 PKR,Edible Stuff
Graduation,Friend,Female,Adult,20–25,3–5 year,Unknown,Unknown,1,4,5,4,2,4,5,4,4,4,5,2,4,"7000–10,000 PKR",Perfume
Graduation,Friend,Female,Adult,20–25,3–5 year,Unknown,Unknown,1,4,5,4,2,4,5,4,4,4,5,2,4,6000–7000 PKR,Shoes
Graduation,Friend,Female,Adult,20–25,3–5 year,Unknown,Unknown,1,4,5,4,2,4,5,4,4,4,5,2,4,4000–5000 PKR,Jewellery
Graduation,Friend,Female,Adult,20–25,3–5 year,Unknown,Unknown,1,4,5,4,2,4,5,4,4,4,5,2,4,7000–8000 PKR,Makeup Products
Birthday,"Close Family(Parent, Sibling, Child)",Male,Adult,More than 35 years,3–5 year,Unknown,Unknown,2,2,4,1,1,1,4,4,1,1,5,2,4,4000–5000 PKR,Jewellery
Birthday,"Close Family(Parent, Sibling, Child)",Female,Adult,20–25,1–3 year,Unknown,Unknown,5,4,5,5,4,5,4,5,5,4,5,5,4,2000–3000 PKR,Jewellery
Birthday,"Close Family(Parent, Sibling, Child)",Female,Adult,20–25,1–3 year,Unknown,Unknown,5,4,5,5,4,5,4,5,5,4,5,5,4,5000 PKR,Perfume
Birthday,"Close Family(Parent, Sibling, Child)",Male,Adult,25–35,5+ year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,5000 PKR,Clothing
Birthday,Friend,Female,Adult,20–25,1–3 year,Unknown,Unknown,5,5,5,5,5,5,5,5,5,5,5,5,5,1000–2000 PKR,Jewellery
Birthday,"Close Family(Parent, Sibling, Child)",Female,Adult,25–35,5+ year,Unknown,Unknown,4,3,3,3,2,5,5,3,3,3,5,3,3,5000–8000 PKR,Clothing
Wedding/Engagement gift|Graduation|Anniversary|Get well soon,Spouse,Female,Adult,16–20,5+ year,Unknown,Unknown,5,1,1,1,1,5,5,1,1,1,1,1,1,"10,000–15,000 PKR",Makeup Products
Graduation,Friend,Male,Adult,20–25,5+ year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,"5000–10,000 PKR",Shoes
Graduation,Friend,Male,Adult,20–25,5+ year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,3000–4000 PKR,Jewellery
Thank you gift,Friend,Female,Adult,20–25,1–3 year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,"7000–10,000 PKR",Perfume
Thank you gift,Friend,Female,Adult,20–25,1–3 year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,"7000–10,000 PKR",Perfume
Thank you gift,Friend,Female,Adult,20–25,1–3 year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,5000–7000 PKR,Perfume
Thank you gift,Friend,Female,Adult,20–25,3–5 year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,5000–7000 PKR,Perfume
Birthday,Spouse,Female,Adult,16–20,1–3 year,Unknown,Unknown,1,3,3,3,3,3,3,3,3,3,3,3,3,5000 PKR,Shoes
Birthday,"Close Family(Parent, Sibling, Child)",Female,Adult,20–25,1–3 year,Unknown,Unknown,5,3,3,3,3,3,5,3,3,3,5,3,3,5000–6000 PKR,Makeup Products
Birthday,"Extended Family (Aunt, Uncle, Cousin)",Female,Kid,6–9,Unknown,Noisy Toys|Messy Crafts,Dolls|Arts & Crafts|Building Toys (e.g. LEGO),3,3,3,3,3,3,3,3,5,3,3,3,3,1500–2000 PKR,Perfume
Birthday,"Close Family(Parent, Sibling, Child)",Female,Adult,More than 35 years,5+ year,Unknown,Unknown,1,3,5,3,3,3,5,3,3,3,3,3,3,"20,000–25,000 PKR",Bag/Wallet
Birthday|Other,Friend,Male,Adult,20–25,3–5 year,Unknown,Unknown,3,3,4,3,2,4,5,2,3,4,5,4,3,5000 PKR,Perfume
Anniversary,Friend,Female,Adult,20–25,Less than a year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,4000–5000 PKR,Edible Stuff
Anniversary,"Extended Family (Aunt, Uncle, Cousin)",Female,Adult,25–35,5+ year,Unknown,Unknown,3,1,3,5,2,5,5,5,2,5,5,5,5,"10,000–15,000 PKR",Clothing
Anniversary,"Extended Family (Aunt, Uncle, Cousin)",Female,Adult,25–35,5+ year,Unknown,Unknown,3,1,3,5,2,5,5,5,2,5,5,5,5,"10,000–12,000 PKR",Perfume
Anniversary,"Extended Family (Aunt, Uncle, Cousin)",Female,Adult,25–35,5+ year,Unknown,Unknown,3,1,3,5,2,5,5,5,2,5,5,5,5,"5000–10,000 PKR",Bag/Wallet
Anniversary,"Extended Family (Aunt, Uncle, Cousin)",Female,Adult,25–35,5+ year,Unknown,Unknown,3,1,3,5,2,5,5,5,2,5,5,5,5,"10,000–15,000 PKR",Makeup Products
Anniversary,"Extended Family (Aunt, Uncle, Cousin)",Female,Adult,25–35,5+ year,Unknown,Unknown,3,1,3,5,2,5,5,5,2,5,5,5,5,More than 5000 PKR,Jewellery
Anniversary,"Extended Family (Aunt, Uncle, Cousin)",Female,Adult,25–35,5+ year,Unknown,Unknown,3,1,3,5,2,5,5,5,2,5,5,5,5,"10,000–15,000 PKR",Shoes
Anniversary,"Extended Family (Aunt, Uncle, Cousin)",Female,Adult,25–35,5+ year,Unknown,Unknown,3,1,3,5,2,5,5,5,2,5,5,5,5,"10,000–15,000 PKR",Makeup Products
Anniversary,"Extended Family (Aunt, Uncle, Cousin)",Female,Adult,25–35,5+ year,Unknown,Unknown,3,1,3,5,2,5,5,5,2,5,5,5,5,"10,000–15,000 PKR",Makeup Products
Anniversary,"Extended Family (Aunt, Uncle, Cousin)",Female,Adult,25–35,5+ year,Unknown,Unknown,3,1,3,5,2,5,5,5,2,5,5,5,5,"10,000–15,000 PKR",Makeup Products
Anniversary,"Extended Family (Aunt, Uncle, Cousin)",Female,Adult,25–35,5+ year,Unknown,Unknown,3,1,3,5,2,5,5,5,2,5,5,5,5,"10,000–15,000 PKR",Makeup Products
Birthday|Anniversary|Holiday|Wedding/Engagement gift|Graduation|Thank you gift|Get well soon,Friend,Male,Adult,20–25,1–3 year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,5000 PKR,Perfume
