gender,age_group,age_type,relationship,occasion,gift_type,price,color,product_style,gift_item_style,container_type,size,scent,personality_score
male,20–25,adult,other,birthday,perfume,"12,000–15,000 PKR",,,Quirky & Unique,acrylic box,,Floral,3.0
female,20–25,adult,"close family(parent, sibling, child)",birthday,shoes,5000 PKR,Black,Formal shoes,Handmade & Crafted,basket with ribbon,39,,3.0
female,20–25,adult,"close family(parent, sibling, child)",birthday,perfume,5000–7000 PKR,,,Handmade & Crafted,basket with ribbon,,Spicy,3.0
female,20–25,adult,"close family(parent, sibling, child)",birthday,edible stuff,1000 PKR,,,Funny & Lighthearted,basket with ribbon,,,3.0
female,20–25,adult,spouse,graduation,bag/wallet,"10,000–15,000 PKR",Black,Tote bags,Handmade & Crafted,basket with ribbon,,,3.0
male,25–35,adult,"close family(parent, sibling, child)",holiday,shoes,5000 PKR,Brown,Formal shoes,Funny & Lighthearted,basket with ribbon,41,,2.923076923076923
female,1–3,kid,"close family(parent, sibling, child)",birthday,perfume,2000–2500 PKR,,,,basket with ribbon,,Woody,3.0
male,25–35,adult,"close family(parent, sibling, child)",birthday,shoes,"20,000–25,000 PKR",Brown,Sandals,,simple box,41,,3.230769230769231
male,25–35,adult,"close family(parent, sibling, child)",birthday,wallet,5000–6000 PKR,Brown,Bifold wallets,,simple box,,,3.230769230769231
male,25–35,adult,"close family(parent, sibling, child)",birthday,edible stuff,1000–2000 PKR,,,,simple box,,,3.230769230769231
female,Less than a year,kid,"close family(parent, sibling, child)",get well soon,edible stuff,5000–6000 PKR,,,,acrylic box,,,3.0
male,20–25,adult,"extended family (aunt, uncle, cousin)",graduation,perfume,5000–7000 PKR,,,Handmade & Crafted,acrylic box,,Floral,3.0
male,20–25,adult,spouse,wedding/engagement gift,jewellery,More than 5000 PKR,Silver,Bracelet,Funny & Lighthearted,basket with ribbon,,,3.0
male,20–25,adult,spouse,wedding/engagement gift,clothing,"10,000–15,000 PKR","Black,Maroon",Shalwar kameez,Handmade & Crafted,basket with ribbon,L,,3.0
male,20–25,adult,other,other,wallet,5000–6000 PKR,Camel brown,Formal bag,Quirky & Unique,simple box,,,3.1538461538461537
male,25–35,adult,"extended family (aunt, uncle, cousin)",birthday,wallet,"8000–10,000 PKR",Brown,Bifold wallets,Funny & Lighthearted,simple box,,,3.3076923076923075
female,20–25,adult,"close family(parent, sibling, child)",birthday,jewellery,4000–5000 PKR,Gold,Chokr,Quirky & Unique,basket with ribbon,,,3.1538461538461537
male,More than 35 years,adult,"extended family (aunt, uncle, cousin)",wedding/engagement gift,clothing,"10,000–15,000 PKR",White,,Handmade & Crafted,simple box,,,3.4615384615384617
male,16–20,adult,"close family(parent, sibling, child)",birthday,shoes,"10,000–15,000 PKR",Black,Loafers,Quirky & Unique,basket with ribbon,42,,3.3846153846153846
male,16–20,adult,"close family(parent, sibling, child)",birthday,perfume,"7000–10,000 PKR",,,Handmade & Crafted,basket with ribbon,,Spicy,3.3846153846153846
male,16–20,adult,"close family(parent, sibling, child)",birthday,clothing,"8000–10,000 PKR",Black,Shalwar kameez,Quirky & Unique,basket with ribbon,S,,3.3846153846153846
female,16–20,adult,spouse,birthday,perfume,"10,000–12,000 PKR",,,Quirky & Unique,acrylic box,,Floral,3.0
female,3–6,kid,"close family(parent, sibling, child)",birthday,toys,5500 – 7500 PKR,,,,simple box,,,3.769230769230769
male,20–25,adult,"close family(parent, sibling, child)",birthday,perfume,5000–7000 PKR,,,Handmade & Crafted,basket with net,,Sweet,3.076923076923077
male,20–25,adult,friend,graduation,wallet,6000–8000 PKR,Brown,Card wallets,Quirky & Unique,basket with ribbon,,,3.076923076923077
male,20–25,adult,friend,graduation,perfume,5000–7000 PKR,,,Quirky & Unique,basket with ribbon,,Floral,3.076923076923077
female,20–25,adult,colleague/professional,graduation,edible stuff,4000–5000 PKR,,,Quirky & Unique,basket with ribbon,,,3.076923076923077
female,12–15,kid,"close family(parent, sibling, child)",birthday,edible stuff,4000–5000 PKR,,,,basket with ribbon,,,3.4615384615384617
male,16–20,adult,friend,birthday,clothing,5000 PKR,White,Shalwar kameez,Handmade & Crafted,basket with ribbon,,,3.0
male,16–20,adult,friend,birthday,perfume,5000 PKR,,,Quirky & Unique,basket with ribbon,,Floral,3.0
male,20–25,adult,friend,birthday,edible stuff,1000–2000 PKR,,,Funny & Lighthearted,basket with ribbon,,,3.0
